JobID,JobTitle,MinSalary,MaxSalary
245,Warehouse Supervisor,45000,85000
246,Inventory Manager,55000,100000
247,Production Manager,65000,120000
248,Manufacturing Engineer,60000,115000
249,Industrial Engineer,65000,120000
250,Quality Assurance Analyst,50000,95000
251,QA Lead,60000,115000
252,Test Automation Engineer,60000,110000
253,Technical Writer,45000,85000
254,Content Writer,40000,70000
255,SEO Specialist,45000,85000
256,Social Media Specialist,40000,75000
257,Email Marketing Specialist,45000,80000
258,Digital Marketing Manager,65000,120000
259,Marketing Manager,65000,120000
260,Brand Strategist,60000,115000
261,PR Specialist,45000,85000
262,PR Manager,60000,115000
263,Account Executive,50000,100000
264,Account Manager,50000,95000
265,Sales Executive,40000,95000
266,Sales Manager,65000,130000
267,Business Development Manager,65000,120000
268,Customer Success Manager,60000,115000
269,Customer Experience Specialist,50000,95000
270,Customer Support Representative,35000,60000
271,Customer Support Specialist,40000,70000
272,Technical Support Engineer,40000,75000
273,IT Support Specialist,40000,75000
274,Network Administrator,55000,100000
275,Network Engineer,60000,115000
276,Systems Engineer,65000,120000
277,Security Analyst,60000,115000
278,Security Engineer,70000,130000
279,Cybersecurity Specialist,65000,120000
280,Cloud Engineer,70000,130000
281,Cloud Solutions Architect,70000,135000
282,Solutions Engineer,65000,125000
283,Software Architect,80000,150000
284,Software Engineer,60000,120000
285,Senior Software Engineer,70000,130000
286,Lead Developer,75000,135000
287,Technical Lead,75000,135000
288,Frontend Developer,60000,115000
289,Backend Developer,65000,120000
290,Full Stack Developer,70000,130000
291,Mobile Developer,65000,120000
292,Web Developer,60000,115000
293,Database Developer,60000,115000
294,Database Administrator,60000,115000
295,Data Engineer,65000,120000
296,Data Scientist,70000,135000
297,Machine Learning Engineer,75000,140000
298,AI Engineer,75000,140000
299,Project Coordinator,45000,85000
300,Project Manager,65000,125000
